Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
Cross(2024),2024,"Action & Adventure, Crime, Mystery & Thriller, Drama",7.2,57min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/cross
Breaking Bad(2008),2008,"Drama, Crime, Mystery & Thriller",9.5,47min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/breaking-bad
The Great Indian Kapil Show(2024),2024,Comedy,6.5,1h 1min,No Rating,India,['Netflix'],https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project
A Man on the Inside(2024),2024,"Comedy, Crime",7.8,29min,No Rating,United States,['Netflix'],https://www.justwatch.com/in/tv-show/a-classic-spy
Cobra Kai(2018),2018,"Action & Adventure, Drama, Comedy, Sport",8.4,36min,No Rating,United States,['Netflix'],https://www.justwatch.com/in/tv-show/cobra-kai
The Rookie(2018),2018,"Comedy, Crime, Drama, Action & Adventure",8.0,43min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/the-rookie
Farzi(2023),2023,"Drama, Crime, Mystery & Thriller",8.3,56min,No Rating,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/farzi
Lioness(2023),2023,"Drama, War & Military, Mystery & Thriller, Action & Adventure",7.7,46min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/special-ops-lioness
Superman & Lois(2021),2021,"Drama, Science-Fiction, Action & Adventure",7.8,42min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/superman-and-lois
Senna(2024),2024,"Drama, Sport",8.5,1h 3min,A,Brazil,['Netflix'],https://www.justwatch.com/in/tv-show/senna
Mandaar(2021),2021,Drama,Not Found,44min,No Rating,India,"['Hoichoi Amazon Channel', 'Hoichoi']",https://www.justwatch.com/in/tv-show/mandaar
Solo Leveling(2024),2024,"Animation, Action & Adventure, Fantasy, Science-Fiction",8.3,24min,No Rating,"South Korea, Japan",['Crunchyroll Amazon Channel'],https://www.justwatch.com/in/tv-show/solo-leveling-2024
Gandii Baat(2018),2018,"Drama, Crime, Mystery & Thriller",3.4,44min,A,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/gandii-baat
House of the Dragon(2022),2022,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.3,1h 2min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/house-of-the-dragon
Apharan(2018),2018,"Crime, Mystery & Thriller, Drama",8.2,24min,No Rating,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/apharan
The Diplomat(2023),2023,"Drama, War & Military, Mystery & Thriller",8.0,50min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/the-diplomat
Agatha All Along(2024),2024,"Science-Fiction, Mystery & Thriller, Drama, Fantasy, Action & Adventure, Comedy",7.2,39min,No Rating,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/agatha-house-of-harkness
The Boys(2019),2019,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7,1h 1min,A,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-boys
